ExpID	File_Name	Env	Setup	LD_cycle	Num	ID	Nest	Source	Phenotype	Location	Gen	Sex	Photo	Subj_activity	Act_index	Breeding_nest	Start_Date	End_Date	Soil	Bury	Eggs	Instar	Distance	Carcass	Phenotype	expression	phen_idx
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	17	T0316	n7725	BF	0	6_3	WT	M	L	Active	1	n8030	11/9/20	11/23/20	9.417	1	1	1	on carcass	1	y		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	18	T0269	n7721	BF	0	3_6	WT	F	S	Active	1	n8033	11/9/20	11/27/20	9.721	1	0	1	NA				0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	19	T0632	n7722	BF	0	4_5	WT	F	L	Inactive 	0	n8029	11/9/20	11/23/20	NA	1	0	1	on carcass	1	y		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	20	T0576	n7720	BF	0	2_7	WT	M	L	Active	1	n8023	11/9/20	11/23/20	9.99	1	0	1	5.716	0	y		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	21	T0552	n7720	BF	0	2_7	WT	M	S	Active 	1	n8037	11/9/20	11/27/20	9.651	1	0	1	NA			ZT12	0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	22	T0296	n7725	BF	0	6_3	WT	F	S	Active	1	n8034	11/9/20	11/27/20	NA	1	0	1	NA				0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	23	T0574	n7720	BF	0	2_7	WT	F	L	Inactive 	0	n8031	11/9/20	11/23/20	9.781	1	0	0	5.6	0	s		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	24	T0241	n7721	BF	0	3_6	WT	M	L	Active	1	n8027	11/9/20	11/23/20	10.05	1	0	1	NA	NA	y		0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	25	T0788	n7890	MF	1	7429_7427	F20	M	L									1					1
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	26	T0265	n7721	BF	0	3_6	WT	F	S	Active 	1	n8032	11/9/20	11/27/20	NA	1	0	1	8.22	0			0
Loc1029	Monitor20201029_1102_soil	warmroom	soil	LD_4	27	T0617	n7722	BF	0	4_5	WT	M	L	Active 	1	n8028	11/9/20	11/23/20	10.471	1	0	1	10.3	0	y	ZT12	0
